university,year,state,rank,IPEDS,policy_typology,token_count,restrictive_count,innovation_count,admin_count,faculty_count,restrictive_density,innovation_density,admin_density,faculty_density,max_density,second_density,density_gap
California State University Long Beach,2026,CA,127.0,110565.0,Administrative Risk-Management,170,1,2,3,0,0.0058823529411764705,0.011764705882352941,0.01764705882352941,0.0,0.01764705882352941,0.011764705882352941,0.0058823529411764705
University of South Carolina,2026,SC,127.0,218663.0,Restrictive / Compliance-Driven,4710,76,16,0,0,0.01613588110403397,0.003397027600849257,0.0,0.0,0.01613588110403397,0.003397027600849257,0.012738853503184714
University of Maryland Baltimore County,2025,MD,144.0,163268.0,Innovation-Forward,1257,9,18,1,0,0.007159904534606206,0.014319809069212411,0.0007955449482895784,0.0,0.014319809069212411,0.007159904534606206,0.007159904534606206
University of Vermont,2026,VT,132.0,231174.0,Restrictive / Compliance-Driven,411,4,0,0,0,0.009732360097323601,0.0,0.0,0.0,0.009732360097323601,0.0,0.009732360097323601
California State University Fullerton,2026,CA,132.0,110583.0,Innovation-Forward,647,1,19,0,0,0.0015455950540958269,0.02936630602782071,0.0,0.0,0.02936630602782071,0.0015455950540958269,0.027820710973724884
Clark University,2024,MA,142.0,165334.0,Restrictive / Compliance-Driven,631,5,3,0,0,0.00792393026941363,0.004754358161648178,0.0,0.0,0.00792393026941363,0.004754358161648178,0.003169572107765452
Loyola University Chicago,2026,IL,132.0,146719.0,Restrictive / Compliance-Driven,2494,24,16,3,3,0.009623095429029671,0.006415396952686447,0.0012028869286287089,0.0012028869286287089,0.009623095429029671,0.006415396952686447,0.0032076984763432237
Virginia Commonwealth University,2024,VA,142.0,234030.0,Innovation-Forward,1903,6,7,2,0,0.0031529164477141357,0.0036784025223331584,0.0010509721492380452,0.0,0.0036784025223331584,0.0031529164477141357,0.0005254860746190227
Colorado State University,2026,CO,,126818.0,Restrictive / Compliance-Driven,732,10,6,0,0,0.01366120218579235,0.00819672131147541,0.0,0.0,0.01366120218579235,0.00819672131147541,0.005464480874316939
James Madison University,2025,VA,148.0,232423.0,Restrictive / Compliance-Driven,1158,6,5,1,0,0.0051813471502590676,0.004317789291882556,0.0008635578583765112,0.0,0.0051813471502590676,0.004317789291882556,0.0008635578583765114
University of St.Thomas Minnesota,2026,MN,,174914.0,Restrictive / Compliance-Driven,652,2,2,0,0,0.003067484662576687,0.003067484662576687,0.0,0.0,0.003067484662576687,0.003067484662576687,0.0
Illinois State University,2023,IL,,145813.0,Restrictive / Compliance-Driven,2252,12,7,1,0,0.0053285968028419185,0.003108348134991119,0.0004440497335701599,0.0,0.0053285968028419185,0.003108348134991119,0.0022202486678507996
